contract,tier,category,stratum,word_count,gold_answer,model_answer,parse_error,call_error,tokens_in,tokens_out,finish_reason,latency_s,cost_usd,raw_path
GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-4-AFFILIATE AGREEMENT.txt,moderate,Termination For Convenience,short,2765,No,No,,,4457,6,stop,1.18,0.00295,results/raw/20260818T172209__qa-v2__deepseek-v4-pro__GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-__Termination-For-Convenience.txt
GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-4-AFFILIATE AGREEMENT.txt,hard,Ip Ownership Assignment,short,2765,No,not specified,,,4464,7,stop,0.86,0.00296,results/raw/20260818T172210__qa-v2__deepseek-v4-pro__GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-__Ip-Ownership-Assignment.txt
NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRIBUTOR AGREEMENT_Amendment.txt,easy,Governing Law,short,2848,,not specified,,,4372,7,stop,1.28,0.0029,results/raw/20260818T172211__qa-v2__deepseek-v4-pro__NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRI__Governing-Law.txt
NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRIBUTOR AGREEMENT_Amendment.txt,moderate,Termination For Convenience,short,2848,No,No,,,4373,6,stop,1.36,0.0029,results/raw/20260818T172213__qa-v2__deepseek-v4-pro__NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRI__Termination-For-Convenience.txt
NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRIBUTOR AGREEMENT_Amendment.txt,hard,Cap On Liability,short,2848,No,No,,,4384,6,stop,0.97,0.00291,results/raw/20260818T172214__qa-v2__deepseek-v4-pro__NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRI__Cap-On-Liability.txt
"XLITECHNOLOGIES,INC_12_11_2015-EX-10.1-Sponsorship Agreement.txt",easy,Expiration Date,short,2851,11/30/16,11/30/2016,,,3982,11,stop,0.91,0.00265,"results/raw/20260818T172215__qa-v2__deepseek-v4-pro__XLITECHNOLOGIES,INC_12_11_2015-EX-10.1-S__Expiration-Date.txt"
"XLITECHNOLOGIES,INC_12_11_2015-EX-10.1-Sponsorship Agreement.txt",moderate,Termination For Convenience,short,2851,No,No,,,3972,6,stop,1.28,0.00263,"results/raw/20260818T172216__qa-v2__deepseek-v4-pro__XLITECHNOLOGIES,INC_12_11_2015-EX-10.1-S__Termination-For-Convenience.txt"
"XLITECHNOLOGIES,INC_12_11_2015-EX-10.1-Sponsorship Agreement.txt",hard,Ip Ownership Assignment,short,2851,No,No,,,3979,6,stop,1.27,0.00264,"results/raw/20260818T172217__qa-v2__deepseek-v4-pro__XLITECHNOLOGIES,INC_12_11_2015-EX-10.1-S__Ip-Ownership-Assignment.txt"
ORBSATCORP_08_17_2007-EX-7.3-STRATEGIC ALLIANCE AGREEMENT.txt,easy,Governing Law,short,2909,,not specified,,,3944,7,stop,1.22,0.00262,results/raw/20260818T172218__qa-v2__deepseek-v4-pro__ORBSATCORP_08_17_2007-EX-7.3-STRATEGIC_A__Governing-Law.txt
ORBSATCORP_08_17_2007-EX-7.3-STRATEGIC ALLIANCE AGREEMENT.txt,moderate,Termination For Convenience,short,2909,Yes,Yes,,,3945,6,stop,1.26,0.00262,results/raw/20260818T172220__qa-v2__deepseek-v4-pro__ORBSATCORP_08_17_2007-EX-7.3-STRATEGIC_A__Termination-For-Convenience.txt
ORBSATCORP_08_17_2007-EX-7.3-STRATEGIC ALLIANCE AGREEMENT.txt,hard,Cap On Liability,short,2909,No,No,,,3956,6,stop,1.14,0.00262,results/raw/20260818T172221__qa-v2__deepseek-v4-pro__ORBSATCORP_08_17_2007-EX-7.3-STRATEGIC_A__Cap-On-Liability.txt
WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.txt,easy,Expiration Date,medium,2955,,not specified,,,4138,7,stop,1.29,0.00274,results/raw/20260818T172222__qa-v2__deepseek-v4-pro__WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING__Expiration-Date.txt
WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.txt,moderate,Termination For Convenience,medium,2955,No,Yes,,,4128,6,stop,1.44,0.00274,results/raw/20260818T172223__qa-v2__deepseek-v4-pro__WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING__Termination-For-Convenience.txt
WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.txt,hard,Ip Ownership Assignment,medium,2955,No,No,,,4135,6,stop,1.02,0.00274,results/raw/20260818T172225__qa-v2__deepseek-v4-pro__WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING__Ip-Ownership-Assignment.txt
SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules.txt,easy,Governing Law,medium,3435,,not specified,,,5755,7,stop,1.02,0.00381,results/raw/20260818T172226__qa-v2__deepseek-v4-pro__SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-__Governing-Law.txt
SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules.txt,moderate,Termination For Convenience,medium,3435,No,No,,,5756,6,stop,0.94,0.00381,results/raw/20260818T172226__qa-v2__deepseek-v4-pro__SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-__Termination-For-Convenience.txt
SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules.txt,hard,Cap On Liability,medium,3435,Yes,No,,,5767,6,stop,1.19,0.00382,results/raw/20260818T172228__qa-v2__deepseek-v4-pro__SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-__Cap-On-Liability.txt
PREMIERBIOMEDICALINC_05_14_2020-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT.txt,easy,Expiration Date,medium,3596,,not specified,,,5018,7,stop,1.3,0.00333,results/raw/20260818T172229__qa-v2__deepseek-v4-pro__PREMIERBIOMEDICALINC_05_14_2020-EX-10.2-__Expiration-Date.txt
PREMIERBIOMEDICALINC_05_14_2020-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT.txt,moderate,Termination For Convenience,medium,3596,No,not specified,,,5008,7,stop,1.29,0.00332,results/raw/20260818T172230__qa-v2__deepseek-v4-pro__PREMIERBIOMEDICALINC_05_14_2020-EX-10.2-__Termination-For-Convenience.txt
PREMIERBIOMEDICALINC_05_14_2020-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT.txt,hard,Ip Ownership Assignment,medium,3596,No,No,,,5015,6,stop,1.06,0.00332,results/raw/20260818T172231__qa-v2__deepseek-v4-pro__PREMIERBIOMEDICALINC_05_14_2020-EX-10.2-__Ip-Ownership-Assignment.txt
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT.txt,easy,Governing Law,medium,3770,Kansas,Kansas,,,5907,7,stop,1.06,0.00391,results/raw/20260818T172232__qa-v2__deepseek-v4-pro__ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSE__Governing-Law.txt
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT.txt,moderate,Termination For Convenience,medium,3770,No,No,,,5908,6,stop,0.96,0.00391,results/raw/20260818T172233__qa-v2__deepseek-v4-pro__ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSE__Termination-For-Convenience.txt
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT.txt,hard,Cap On Liability,medium,3770,No,No,,,5919,6,stop,1.11,0.00392,results/raw/20260818T172234__qa-v2__deepseek-v4-pro__ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSE__Cap-On-Liability.txt
FreezeTagInc_20180411_8-K_EX-10.1_11139603_EX-10.1_Sponsorship Agreement.txt,easy,Expiration Date,medium,4102,3/14/20,03/14/2020,,,5455,11,stop,2.1,0.00362,results/raw/20260818T172237__qa-v2__deepseek-v4-pro__FreezeTagInc_20180411_8-K_EX-10.1_111396__Expiration-Date.txt
FreezeTagInc_20180411_8-K_EX-10.1_11139603_EX-10.1_Sponsorship Agreement.txt,moderate,Termination For Convenience,medium,4102,No,Yes,,,5445,6,stop,1.33,0.00361,results/raw/20260818T172238__qa-v2__deepseek-v4-pro__FreezeTagInc_20180411_8-K_EX-10.1_111396__Termination-For-Convenience.txt
FreezeTagInc_20180411_8-K_EX-10.1_11139603_EX-10.1_Sponsorship Agreement.txt,hard,Ip Ownership Assignment,medium,4102,No,No,,,5452,6,stop,1.08,0.00361,results/raw/20260818T172239__qa-v2__deepseek-v4-pro__FreezeTagInc_20180411_8-K_EX-10.1_111396__Ip-Ownership-Assignment.txt
PelicanDeliversInc_20200211_S-1_EX-10.3_11975895_EX-10.3_Development Agreement2.txt,easy,Governing Law,medium,4870,,Washington,,,6671,6,stop,1.01,0.00441,results/raw/20260818T172240__qa-v2__deepseek-v4-pro__PelicanDeliversInc_20200211_S-1_EX-10.3___Governing-Law.txt
PelicanDeliversInc_20200211_S-1_EX-10.3_11975895_EX-10.3_Development Agreement2.txt,moderate,Termination For Convenience,medium,4870,Yes,Yes,,,6672,6,stop,1.09,0.00442,results/raw/20260818T172241__qa-v2__deepseek-v4-pro__PelicanDeliversInc_20200211_S-1_EX-10.3___Termination-For-Convenience.txt
PelicanDeliversInc_20200211_S-1_EX-10.3_11975895_EX-10.3_Development Agreement2.txt,hard,Cap On Liability,medium,4870,No,No,,,6683,6,stop,1.03,0.00442,results/raw/20260818T172242__qa-v2__deepseek-v4-pro__PelicanDeliversInc_20200211_S-1_EX-10.3___Cap-On-Liability.txt
AMBASSADOREYEWEARGROUPINC_11_17_1997-EX-10.28-ENDORSEMENT AGREEMENT.txt,easy,Expiration Date,medium,5780,1/30/00,01/30/2000,,,7968,11,stop,1.42,0.00528,results/raw/20260818T172244__qa-v2__deepseek-v4-pro__AMBASSADOREYEWEARGROUPINC_11_17_1997-EX-__Expiration-Date.txt
AMBASSADOREYEWEARGROUPINC_11_17_1997-EX-10.28-ENDORSEMENT AGREEMENT.txt,moderate,Termination For Convenience,medium,5780,No,No,,,7958,6,stop,1.33,0.00526,results/raw/20260818T172245__qa-v2__deepseek-v4-pro__AMBASSADOREYEWEARGROUPINC_11_17_1997-EX-__Termination-For-Convenience.txt
AMBASSADOREYEWEARGROUPINC_11_17_1997-EX-10.28-ENDORSEMENT AGREEMENT.txt,hard,Ip Ownership Assignment,medium,5780,No,Yes,,,7965,6,stop,0.92,0.00527,results/raw/20260818T172246__qa-v2__deepseek-v4-pro__AMBASSADOREYEWEARGROUPINC_11_17_1997-EX-__Ip-Ownership-Assignment.txt
GSVINC_05_15_1998-EX-10-SPONSORSHIP AGREEMENT.txt,easy,Governing Law,medium,5880,New York,New York,,,8553,7,stop,1.39,0.00566,results/raw/20260818T172247__qa-v2__deepseek-v4-pro__GSVINC_05_15_1998-EX-10-SPONSORSHIP_AGRE__Governing-Law.txt
GSVINC_05_15_1998-EX-10-SPONSORSHIP AGREEMENT.txt,moderate,Termination For Convenience,medium,5880,No,No,,,8554,6,stop,1.19,0.00566,results/raw/20260818T172248__qa-v2__deepseek-v4-pro__GSVINC_05_15_1998-EX-10-SPONSORSHIP_AGRE__Termination-For-Convenience.txt
GSVINC_05_15_1998-EX-10-SPONSORSHIP AGREEMENT.txt,hard,Cap On Liability,medium,5880,Yes,Yes,,,8565,6,stop,1.21,0.00566,results/raw/20260818T172250__qa-v2__deepseek-v4-pro__GSVINC_05_15_1998-EX-10-SPONSORSHIP_AGRE__Cap-On-Liability.txt
"NETGEAR,INC_04_21_2003-EX-10.16-DISTRIBUTOR AGREEMENT.txt",easy,Expiration Date,medium,6029,3/1/97,03/01/1997,,,8552,11,stop,1.69,0.00567,"results/raw/20260818T172251__qa-v2__deepseek-v4-pro__NETGEAR,INC_04_21_2003-EX-10.16-DISTRIBU__Expiration-Date.txt"
"NETGEAR,INC_04_21_2003-EX-10.16-DISTRIBUTOR AGREEMENT.txt",moderate,Termination For Convenience,medium,6029,Yes,Yes,,,8542,6,stop,1.34,0.00565,"results/raw/20260818T172253__qa-v2__deepseek-v4-pro__NETGEAR,INC_04_21_2003-EX-10.16-DISTRIBU__Termination-For-Convenience.txt"
"NETGEAR,INC_04_21_2003-EX-10.16-DISTRIBUTOR AGREEMENT.txt",hard,Ip Ownership Assignment,medium,6029,No,No,,,8549,6,stop,1.34,0.00565,"results/raw/20260818T172254__qa-v2__deepseek-v4-pro__NETGEAR,INC_04_21_2003-EX-10.16-DISTRIBU__Ip-Ownership-Assignment.txt"
"Columbia Laboratories, (Bermuda) Ltd. - AMEND NO. 2 TO MANUFACTURING AND SUPPLY AGREEMENT.txt",easy,Governing Law,medium,7145,England,England,,,9967,6,stop,1.42,0.00659,"results/raw/20260818T172255__qa-v2__deepseek-v4-pro__Columbia_Laboratories,_(Bermuda)_Ltd._-___Governing-Law.txt"
"Columbia Laboratories, (Bermuda) Ltd. - AMEND NO. 2 TO MANUFACTURING AND SUPPLY AGREEMENT.txt",moderate,Termination For Convenience,medium,7145,No,No,,,9968,6,stop,1.58,0.00659,"results/raw/20260818T172257__qa-v2__deepseek-v4-pro__Columbia_Laboratories,_(Bermuda)_Ltd._-___Termination-For-Convenience.txt"
"Columbia Laboratories, (Bermuda) Ltd. - AMEND NO. 2 TO MANUFACTURING AND SUPPLY AGREEMENT.txt",hard,Cap On Liability,medium,7145,No,No,,,9979,6,stop,0.9,0.0066,"results/raw/20260818T172258__qa-v2__deepseek-v4-pro__Columbia_Laboratories,_(Bermuda)_Ltd._-___Cap-On-Liability.txt"
LegacyEducationAllianceInc_20200330_10-K_EX-10.18_12090678_EX-10.18_Development Agreement.txt,easy,Expiration Date,medium,7337,12/23/24,12/22/2024,,,10262,11,stop,1.57,0.00679,results/raw/20260818T172300__qa-v2__deepseek-v4-pro__LegacyEducationAllianceInc_20200330_10-K__Expiration-Date.txt
LegacyEducationAllianceInc_20200330_10-K_EX-10.18_12090678_EX-10.18_Development Agreement.txt,moderate,Termination For Convenience,medium,7337,No,No,,,10252,6,stop,2.0,0.00678,results/raw/20260818T172302__qa-v2__deepseek-v4-pro__LegacyEducationAllianceInc_20200330_10-K__Termination-For-Convenience.txt
LegacyEducationAllianceInc_20200330_10-K_EX-10.18_12090678_EX-10.18_Development Agreement.txt,hard,Ip Ownership Assignment,medium,7337,Yes,No,,,10259,6,stop,1.3,0.00678,results/raw/20260818T172303__qa-v2__deepseek-v4-pro__LegacyEducationAllianceInc_20200330_10-K__Ip-Ownership-Assignment.txt
NANOPHASETECHNOLOGIESCORP_11_01_2005-EX-99.1-DISTRIBUTOR AGREEMENT.txt,easy,Governing Law,medium,7663,"Delaware, Illinois",Delaware,,,10480,7,stop,1.04,0.00693,results/raw/20260818T172304__qa-v2__deepseek-v4-pro__NANOPHASETECHNOLOGIESCORP_11_01_2005-EX-__Governing-Law.txt
NANOPHASETECHNOLOGIESCORP_11_01_2005-EX-99.1-DISTRIBUTOR AGREEMENT.txt,moderate,Termination For Convenience,medium,7663,Yes,Yes,,,10481,6,stop,1.17,0.00693,results/raw/20260818T172305__qa-v2__deepseek-v4-pro__NANOPHASETECHNOLOGIESCORP_11_01_2005-EX-__Termination-For-Convenience.txt
NANOPHASETECHNOLOGIESCORP_11_01_2005-EX-99.1-DISTRIBUTOR AGREEMENT.txt,hard,Cap On Liability,medium,7663,Yes,Yes,,,10492,6,stop,1.47,0.00694,results/raw/20260818T172307__qa-v2__deepseek-v4-pro__NANOPHASETECHNOLOGIESCORP_11_01_2005-EX-__Cap-On-Liability.txt
PenntexMidstreamPartnersLp_20150416_S-1A_EX-10.4_9042833_EX-10.4_Transportation Agreement.txt,easy,Expiration Date,medium,7965,12/31/30,not specified,,,10944,7,stop,1.37,0.00724,results/raw/20260818T172308__qa-v2__deepseek-v4-pro__PenntexMidstreamPartnersLp_20150416_S-1A__Expiration-Date.txt
PenntexMidstreamPartnersLp_20150416_S-1A_EX-10.4_9042833_EX-10.4_Transportation Agreement.txt,moderate,Termination For Convenience,medium,7965,No,Yes,,,10934,6,stop,1.67,0.00723,results/raw/20260818T172310__qa-v2__deepseek-v4-pro__PenntexMidstreamPartnersLp_20150416_S-1A__Termination-For-Convenience.txt
PenntexMidstreamPartnersLp_20150416_S-1A_EX-10.4_9042833_EX-10.4_Transportation Agreement.txt,hard,Ip Ownership Assignment,medium,7965,No,not specified,,,10941,7,stop,1.3,0.00723,results/raw/20260818T172311__qa-v2__deepseek-v4-pro__PenntexMidstreamPartnersLp_20150416_S-1A__Ip-Ownership-Assignment.txt
CORIOINC_07_20_2000-EX-10.5-LICENSE AND HOSTING AGREEMENT.txt,easy,Governing Law,long,8396,California,California,,,11940,6,stop,1.22,0.00789,results/raw/20260818T172312__qa-v2__deepseek-v4-pro__CORIOINC_07_20_2000-EX-10.5-LICENSE_AND___Governing-Law.txt
CORIOINC_07_20_2000-EX-10.5-LICENSE AND HOSTING AGREEMENT.txt,moderate,Termination For Convenience,long,8396,No,No,,,11941,6,stop,1.47,0.00789,results/raw/20260818T172314__qa-v2__deepseek-v4-pro__CORIOINC_07_20_2000-EX-10.5-LICENSE_AND___Termination-For-Convenience.txt
CORIOINC_07_20_2000-EX-10.5-LICENSE AND HOSTING AGREEMENT.txt,hard,Cap On Liability,long,8396,Yes,Yes,,,11952,6,stop,1.45,0.0079,results/raw/20260818T172315__qa-v2__deepseek-v4-pro__CORIOINC_07_20_2000-EX-10.5-LICENSE_AND___Cap-On-Liability.txt
ENERGYXXILTD_05_08_2015-EX-10.13-Transportation AGREEMENT.txt,easy,Expiration Date,long,9243,perpetual,not specified,,,14365,7,stop,1.92,0.00949,results/raw/20260818T172317__qa-v2__deepseek-v4-pro__ENERGYXXILTD_05_08_2015-EX-10.13-Transpo__Expiration-Date.txt
ENERGYXXILTD_05_08_2015-EX-10.13-Transportation AGREEMENT.txt,moderate,Termination For Convenience,long,9243,Yes,Yes,,,14355,6,stop,1.33,0.00949,results/raw/20260818T172318__qa-v2__deepseek-v4-pro__ENERGYXXILTD_05_08_2015-EX-10.13-Transpo__Termination-For-Convenience.txt
ENERGYXXILTD_05_08_2015-EX-10.13-Transportation AGREEMENT.txt,hard,Ip Ownership Assignment,long,9243,No,not specified,,,14362,7,stop,1.07,0.00949,results/raw/20260818T172319__qa-v2__deepseek-v4-pro__ENERGYXXILTD_05_08_2015-EX-10.13-Transpo__Ip-Ownership-Assignment.txt
