model,contract,item,dim,passed,reason,words,stratum
claude-sonnet-5,GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.txt,U2,usability,True,"The note is a concise summary that avoids verbatim clause dumping and uses clear, structured fields.",529,short
claude-sonnet-5,GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.txt,U3,usability,True,"Obligations and risks explicitly name the responsible parties and specific actions, avoiding vague or boilerplate language.",529,short
claude-sonnet-5,CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.txt,F1,faithfulness,True,Both parties named in the brief are explicitly identified in the contract's preamble and schedule.,756,short
claude-sonnet-5,CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.txt,F2,faithfulness,True,All listed obligations are directly supported by specific sections of the schedule and correctly assigned to the respective party.,756,short
claude-sonnet-5,CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.txt,F3,faithfulness,True,"The warranty, acceptance, and maintenance terms, along with the TBD dates, exactly match the schedule's tables and text.",756,short
claude-sonnet-5,CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.txt,F4,faithfulness,True,"Every cited risk, including termination rights, performance penalties, and TBD fields, is directly grounded in the contract text.",756,short
claude-sonnet-5,CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.txt,C1,coverage,True,"The brief correctly identifies both Bank of America, N.A. and Cardlytics as the contracting parties.",756,short
claude-sonnet-5,CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.txt,C2,coverage,True,"The purpose accurately describes the document as a product license schedule detailing software licensing, maintenance, and payment terms under a master agreement.",756,short
claude-sonnet-5,CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.txt,C3,coverage,True,"The brief outlines obligations for both the supplier (delivery, maintenance, training) and the licensee (source code maintenance, termination rights).",756,short
claude-sonnet-5,CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.txt,C4,coverage,True,"The brief accurately captures the 120-day warranty/acceptance periods, the 12-month renewable maintenance term, and the TBD delivery dates.",756,short
claude-sonnet-5,CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.txt,C5,coverage,True,The brief highlights the licensee's unilateral termination right for convenience and the supplier's financial exposure tied to performance benchmarks and breaches.,756,short
claude-sonnet-5,CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.txt,U1,usability,True,"The note provides sufficient context on parties, scope, obligations, and risks to be understood independently of the full contract.",756,short
claude-sonnet-5,CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.txt,U2,usability,True,The information is synthesized into concise bullet points without copying lengthy verbatim clauses.,756,short
claude-sonnet-5,CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.txt,U3,usability,True,Obligations and risks clearly specify the responsible party and the exact conditions or actions required.,756,short
claude-sonnet-5,"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT.txt",F1,faithfulness,True,The brief correctly identifies both contracting parties exactly as named in the agreement.,903,short
claude-sonnet-5,"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT.txt",F2,faithfulness,True,All listed obligations are directly supported by specific clauses in the contract and correctly assigned to the respective parties.,903,short
claude-sonnet-5,"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT.txt",F3,faithfulness,True,The brief accurately notes the absence of a fixed term and correctly reflects the contract's termination provision prior to delivery.,903,short
claude-sonnet-5,"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT.txt",F4,faithfulness,True,"Every identified risk is directly grounded in explicit contract terms regarding indemnity, termination, payment timing, quarantine standards, and governing law.",903,short
claude-sonnet-5,"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT.txt",C1,coverage,True,"Both EWSD 1, LLC d/b/a Shi Farms and Gridiron BioNutrients, Inc. are clearly identified as the contracting parties.",903,short
claude-sonnet-5,"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT.txt",C2,coverage,True,"The purpose accurately summarizes the agreement as a supply contract for 30,000 lbs of hemp biomass at a set price with quality specifications.",903,short
claude-sonnet-5,"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT.txt",C3,coverage,True,"The brief comprehensively lists material duties for both Shi Farms (supply, delivery, quarantine) and Gridiron (payment, testing, indemnification).",903,short
claude-sonnet-5,"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT.txt",C4,coverage,True,The term section correctly captures the lack of a fixed duration and accurately reports the unilateral termination right prior to delivery.,903,short
claude-sonnet-5,"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT.txt",C5,coverage,True,"Key risk allocations including one-sided indemnity, prepayment risk, unilateral termination, and Colorado jurisdiction are all explicitly noted.",903,short
claude-sonnet-5,"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT.txt",U1,usability,True,"The note provides complete context on parties, purpose, duties, term, and risks, allowing full comprehension without the original text.",903,short
claude-sonnet-5,"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT.txt",U2,usability,True,The briefing uses concise bullet points and paraphrased summaries rather than copying lengthy contract clauses.,903,short
claude-sonnet-5,"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT.txt",U3,usability,True,Obligations and risks clearly specify the responsible party and the exact nature of the duty or exposure without vague boilerplate.,903,short
claude-sonnet-5,FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,F1,faithfulness,True,Both parties named in the brief exactly match the contracting entities identified in the preamble of the contract.,1762,short
claude-sonnet-5,FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,F2,faithfulness,True,All listed obligations correspond directly to specific sections of the agreement and are correctly assigned to either FASC or the Adviser.,1762,short
claude-sonnet-5,FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,F3,faithfulness,True,"The start date, standard termination notice period, and special 1940 Act approval/renewal conditions accurately reflect Section 5 of the contract.",1762,short
claude-sonnet-5,FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,F4,faithfulness,True,"Each identified risk, including liability limitations, indemnification scope, termination rights, and the fee margin, is explicitly supported by the contract text.",1762,short
claude-sonnet-5,FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,C1,coverage,True,The brief correctly identifies both Federated Investment Management Company and Federated Advisory Services Company as the contracting parties.,1762,short
claude-sonnet-5,FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,C2,coverage,True,The purpose accurately summarizes the agreement as a services contract where FASC provides investment support services to the Adviser for a fee.,1762,short
claude-sonnet-5,FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,C3,coverage,True,"The brief details material duties for both sides, including FASC's service delivery and record-keeping alongside the Adviser's payment and indemnification responsibilities.",1762,short
claude-sonnet-5,FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,C4,coverage,True,"The term section correctly captures the initial effective date, the 60-day termination right, and the specific annual approval and automatic termination triggers for registered investment companies.",1762,short
claude-sonnet-5,FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,C5,coverage,True,"Key risk allocations such as the gross negligence liability standard, broad indemnification, unilateral termination, and the cost-plus fee formula are all explicitly noted.",1762,short
claude-sonnet-5,FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,U1,usability,True,"The note provides a complete, standalone summary of the agreement's structure, duties, duration, and risks without requiring external context.",1762,short
claude-sonnet-5,FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,U2,usability,True,"The content is organized into concise, paraphrased bullet points rather than copying lengthy contractual clauses.",1762,short
claude-sonnet-5,FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,U3,usability,True,"Obligations and risks clearly specify the responsible party and the exact nature of the duty or exposure, avoiding vague or generic language.",1762,short
claude-sonnet-5,ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement.txt,F1,faithfulness,True,Both parties named in the brief exactly match the contracting entities listed in the contract preamble and signature block.,1849,short
claude-sonnet-5,ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement.txt,F2,faithfulness,True,Every obligation listed is directly traceable to specific articles in the contract and is correctly attributed to either Party A or Party B.,1849,short
claude-sonnet-5,ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement.txt,F3,faithfulness,True,"The brief accurately reflects that no fixed contract duration is stated, while correctly summarizing the stage-by-stage timeline provided in Article VII.",1849,short
claude-sonnet-5,ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement.txt,F4,faithfulness,True,"All identified risks correspond to explicit contract provisions regarding fee structures, cost exclusions, dispute resolution, refund conditions, or the noted absence of liability caps.",1849,short
claude-sonnet-5,ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement.txt,C1,coverage,True,Both Party A (The HUANG JIA Country CLUB and Recreation Inc.) and Party B (Chang Chen-Bin Architects Office) are clearly identified.,1849,short
claude-sonnet-5,ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement.txt,C2,coverage,True,"The purpose accurately captures the agreement's nature as an outsourcing contract for architectural planning, regulatory filings, and construction monitoring for the specified resort hotel.",1849,short
claude-sonnet-5,ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement.txt,C3,coverage,True,"The brief comprehensively details material duties for both the client (payment, data provision, modification costs) and the architect (design, compliance, monitoring, reporting).",1849,short
claude-sonnet-5,ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement.txt,C4,coverage,True,The brief correctly reports the absence of fixed expiration or renewal terms while accurately capturing the planned project timeline phases.,1849,short
claude-sonnet-5,ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement.txt,C5,coverage,True,"The brief highlights key risk allocations including the asymmetric refund clause, open-ended percentage fees, extensive cost exclusions, mandatory arbitration, and the absence of liability caps or indemnities.",1849,short
claude-sonnet-5,ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement.txt,U1,usability,True,"The note provides complete context on parties, scope, obligations, timeline, and risks, allowing a reader to understand the agreement without the source text.",1849,short
claude-sonnet-5,ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement.txt,U2,usability,True,The content is concisely summarized in structured bullet points without copying lengthy verbatim clauses from the contract.,1849,short
claude-sonnet-5,ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement.txt,U3,usability,True,"Each obligation and risk explicitly identifies the responsible party and the specific condition, amount, or mechanism involved, avoiding vague or boilerplate language.",1849,short
claude-sonnet-5,REWALKROBOTICSLTD_07_10_2014-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.txt,F1,faithfulness,True,Both Yaskawa Electric Corporation (YEC) and Argo Medical Technologies Ltd. (ARGO) are correctly named and match the contract preamble.,2320,short
claude-sonnet-5,REWALKROBOTICSLTD_07_10_2014-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.txt,F2,faithfulness,True,Every listed obligation directly corresponds to specific sections of the agreement and is correctly attributed to the responsible party.,2320,short
claude-sonnet-5,REWALKROBOTICSLTD_07_10_2014-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.txt,F3,faithfulness,True,"The stated initial term, early termination right after year seven, renewal conditions, and default termination provisions exactly match Section 5 of the contract.",2320,short
claude-sonnet-5,REWALKROBOTICSLTD_07_10_2014-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.txt,F4,faithfulness,True,"Each identified risk is directly supported by explicit contractual provisions regarding exclusivity, termination, equitable relief, IP warranties, fee shifting, jurisdiction, survival, and share sale obligations.",2320,short
claude-sonnet-5,REWALKROBOTICSLTD_07_10_2014-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.txt,C1,coverage,True,"The brief correctly identifies both contracting entities, YEC and ARGO, as the sole parties to the agreement.",2320,short
claude-sonnet-5,REWALKROBOTICSLTD_07_10_2014-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.txt,C2,coverage,True,"The purpose accurately summarizes the strategic alliance's focus on marketing, distribution, product improvement, joint development, and investment as outlined in the recitals and Section 1.",2320,short
claude-sonnet-5,REWALKROBOTICSLTD_07_10_2014-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.txt,C3,coverage,True,"The obligations section clearly delineates duties for ARGO, YEC, and both parties jointly, ensuring balanced representation.",2320,short
claude-sonnet-5,REWALKROBOTICSLTD_07_10_2014-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.txt,C4,coverage,True,"The term field comprehensively captures the ten-year initial period, post-seventh-year termination right, renewal mechanics, and mutual/default termination options.",2320,short
claude-sonnet-5,REWALKROBOTICSLTD_07_10_2014-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.txt,C5,coverage,True,"Key risk allocations including exclusivity, unilateral termination, IP warranty disclaimers, attorney fee shifting, foreign jurisdiction, and agreement survival are all explicitly noted.",2320,short
claude-sonnet-5,REWALKROBOTICSLTD_07_10_2014-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.txt,U1,usability,True,"The briefing note provides complete context, defines all acronyms, and clearly structures the agreement's core elements for standalone comprehension.",2320,short
claude-sonnet-5,REWALKROBOTICSLTD_07_10_2014-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.txt,U2,usability,True,"The note efficiently summarizes contractual provisions without copying lengthy verbatim text, maintaining a concise digest format.",2320,short
claude-sonnet-5,REWALKROBOTICSLTD_07_10_2014-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.txt,U3,usability,True,"All obligations and risks explicitly identify the responsible parties and specific contractual mechanisms, avoiding vague or generic statements.",2320,short
claude-sonnet-5,MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement.txt,F1,faithfulness,True,The brief correctly names both Morgan Stanley Investment Management Inc. and Morgan Stanley Direct Lending Fund exactly as they appear in the contract.,2438,short
claude-sonnet-5,MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement.txt,F2,faithfulness,True,Every listed obligation corresponds directly to specific sections of the contract and is correctly attributed to the Licensee or both parties.,2438,short
claude-sonnet-5,MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement.txt,F3,faithfulness,True,The stated perpetual term with specific termination triggers accurately reflects Sections 4.1 through 4.4 of the contract.,2438,short
claude-sonnet-5,MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement.txt,F4,faithfulness,True,"All identified risks, including unilateral termination, one-sided indemnity, and strict assignment limits, are directly supported by the contract text.",2438,short
claude-sonnet-5,MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement.txt,C1,coverage,True,Both the Licensor and Licensee are explicitly identified in the parties field.,2438,short
claude-sonnet-5,MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement.txt,C2,coverage,True,The purpose accurately describes the agreement as a trademark license for stating advisory services in public materials.,2438,short
claude-sonnet-5,MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement.txt,C3,coverage,True,The brief accurately reflects the contract's heavily one-sided duty allocation by detailing the Licensee's extensive obligations while capturing the mutual warranty.,2438,short
claude-sonnet-5,MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement.txt,C4,coverage,True,"The term, perpetuity, and all termination conditions including the advisory agreement linkage are fully captured.",2438,short
claude-sonnet-5,MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement.txt,C5,coverage,True,"Key risk allocations such as the unilateral termination right, broad indemnity, warranty disclaimer, and IP assignment are all explicitly noted.",2438,short
claude-sonnet-5,MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement.txt,U1,usability,True,"The note provides sufficient context on parties, purpose, duties, and risks to be understood independently of the source document.",2438,short
claude-sonnet-5,MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement.txt,U2,usability,True,The content is summarized concisely into structured fields without copying long verbatim clauses.,2438,short
claude-sonnet-5,MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement.txt,U3,usability,True,Each obligation and risk clearly identifies the responsible party and the specific requirement or exposure without vague language.,2438,short
claude-sonnet-5,GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-4-AFFILIATE AGREEMENT.txt,F1,faithfulness,True,"All named parties, including PSS and the ten individual affiliates, appear exactly as signatories in the contract.",2765,short
claude-sonnet-5,GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-4-AFFILIATE AGREEMENT.txt,F2,faithfulness,True,Every listed obligation corresponds directly to specific sections of the agreement and is correctly attributed to either PSS or the affiliates.,2765,short
claude-sonnet-5,GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-4-AFFILIATE AGREEMENT.txt,F3,faithfulness,True,The brief accurately notes the absence of a fixed term and correctly describes the duration of the key restrictions and reporting obligations as stated in the contract.,2765,short
claude-sonnet-5,GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-4-AFFILIATE AGREEMENT.txt,F4,faithfulness,True,"All identified risks are directly supported by contractual provisions regarding share restrictions, tax continuity, Section 16(b) liability, and beneficial ownership attribution.",2765,short
claude-sonnet-5,GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-4-AFFILIATE AGREEMENT.txt,C1,coverage,True,The brief explicitly lists PSS and all ten individual affiliate signatories found in the contract.,2765,short
claude-sonnet-5,GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-4-AFFILIATE AGREEMENT.txt,C2,coverage,True,The purpose accurately summarizes the agreement's function of regulating affiliate share restrictions and obligations following the specified merger.,2765,short
claude-sonnet-5,GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-4-AFFILIATE AGREEMENT.txt,C3,coverage,True,The key obligations section comprehensively covers material duties for both the affiliates and PSS.,2765,short
claude-sonnet-5,GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-4-AFFILIATE AGREEMENT.txt,C4,coverage,True,The term section correctly identifies that no fixed term exists and accurately details the conditional and time-bound durations of the primary obligations.,2765,short
claude-sonnet-5,GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-4-AFFILIATE AGREEMENT.txt,C5,coverage,True,"The brief captures the contract's primary risk allocations concerning securities transfer restrictions, tax treatment continuity, and potential short-swing profit liability.",2765,short
claude-sonnet-5,GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-4-AFFILIATE AGREEMENT.txt,U1,usability,True,"The note provides sufficient context regarding the merger, SEC rules, and party roles to be fully understandable without the original contract.",2765,short
claude-sonnet-5,GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-4-AFFILIATE AGREEMENT.txt,U2,usability,True,"The briefing note uses concise, synthesized bullet points and avoids copying long verbatim clauses from the text.",2765,short
claude-sonnet-5,GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-4-AFFILIATE AGREEMENT.txt,U3,usability,True,"Each obligation and risk clearly identifies the responsible party and the specific duty or exposure, avoiding vague or generic language.",2765,short
claude-sonnet-5,NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRIBUTOR AGREEMENT_Amendment.txt,F1,faithfulness,True,All three named entities appear explicitly in the contract text as parties or joining parties.,2848,short
claude-sonnet-5,NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRIBUTOR AGREEMENT_Amendment.txt,F2,faithfulness,True,Every listed obligation corresponds directly to specific sections of the amendment without misattribution.,2848,short
claude-sonnet-5,NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRIBUTOR AGREEMENT_Amendment.txt,F3,faithfulness,True,The stated term and renewal conditions exactly match Section 14.1 of the contract.,2848,short
claude-sonnet-5,NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRIBUTOR AGREEMENT_Amendment.txt,F4,faithfulness,True,"Each identified risk is directly supported by explicit contractual provisions regarding exclusivity, liability, options, and financial commitments.",2848,short
claude-sonnet-5,NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRIBUTOR AGREEMENT_Amendment.txt,C1,coverage,True,The brief correctly identifies all three contracting and joining parties.,2848,short
claude-sonnet-5,NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRIBUTOR AGREEMENT_Amendment.txt,C2,coverage,True,"The purpose accurately summarizes the document as a first amendment modifying royalties, term, exclusivity, and purchase options.",2848,short
claude-sonnet-5,NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRIBUTOR AGREEMENT_Amendment.txt,C3,coverage,True,"The brief details payment duties for the Licensee, repayment and restriction duties for the Licensor/Skunkware, and mutual termination rights.",2848,short
claude-sonnet-5,NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRIBUTOR AGREEMENT_Amendment.txt,C4,coverage,True,"The expiration date, automatic renewal mechanism, and notice period are fully captured.",2848,short
claude-sonnet-5,NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRIBUTOR AGREEMENT_Amendment.txt,C5,coverage,True,"Key risk allocations including exclusivity exceptions, liability carve-outs, unilateral options, and default acceleration are all noted.",2848,short
claude-sonnet-5,NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRIBUTOR AGREEMENT_Amendment.txt,U1,usability,True,The note provides sufficient context and detail for a reader to understand the agreement's scope and mechanics independently.,2848,short
claude-sonnet-5,NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRIBUTOR AGREEMENT_Amendment.txt,U2,usability,True,The content is summarized into concise bullet points without copying lengthy verbatim clauses.,2848,short
claude-sonnet-5,NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRIBUTOR AGREEMENT_Amendment.txt,U3,usability,True,"Obligations and risks clearly specify the responsible party, amounts, percentages, and timeframes without vague language.",2848,short
claude-sonnet-5,"XLITECHNOLOGIES,INC_12_11_2015-EX-10.1-Sponsorship Agreement.txt",F1,faithfulness,True,Both parties are correctly named exactly as they appear in the contract preamble.,2851,short
claude-sonnet-5,"XLITECHNOLOGIES,INC_12_11_2015-EX-10.1-Sponsorship Agreement.txt",F2,faithfulness,True,All listed obligations are directly supported by specific sections in the contract and correctly attributed to the respective parties.,2851,short
claude-sonnet-5,"XLITECHNOLOGIES,INC_12_11_2015-EX-10.1-Sponsorship Agreement.txt",F3,faithfulness,True,"The effective date, expiration date, termination conditions, and cure period exactly match Section 2 of the contract.",2851,short
claude-sonnet-5,"XLITECHNOLOGIES,INC_12_11_2015-EX-10.1-Sponsorship Agreement.txt",F4,faithfulness,True,Every identified risk is grounded in explicit contract provisions or the deliberate absence of standard protections like liability caps.,2851,short
claude-sonnet-5,"XLITECHNOLOGIES,INC_12_11_2015-EX-10.1-Sponsorship Agreement.txt",C1,coverage,True,"Both contracting entities, WCC and XLI, are clearly identified in the parties field.",2851,short
claude-sonnet-5,"XLITECHNOLOGIES,INC_12_11_2015-EX-10.1-Sponsorship Agreement.txt",C2,coverage,True,"The purpose accurately summarizes the sponsorship, cross-promotion, and compensation structure outlined in the recitals and body.",2851,short
claude-sonnet-5,"XLITECHNOLOGIES,INC_12_11_2015-EX-10.1-Sponsorship Agreement.txt",C3,coverage,True,"Material obligations for both WCC (promotional support, trademark licensing) and XLI (stock issuance, product provision) are comprehensively listed.",2851,short
claude-sonnet-5,"XLITECHNOLOGIES,INC_12_11_2015-EX-10.1-Sponsorship Agreement.txt",C4,coverage,True,"The term, expiration, renegotiation/cancellation triggers, and breach cure period are fully and accurately captured.",2851,short
