model,contract,category,stratum,words,tp,n_pred,n_gold,parse_ok,strict_json_ok,gold_yes,pred_yes,yn_correct
claude-sonnet-5,WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.txt,Termination For Convenience,medium,2955,0,0,0,True,True,False,False,True
claude-sonnet-5,WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.txt,Cap On Liability,medium,2955,1,2,5,True,True,True,True,True
claude-sonnet-5,WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.txt,Ip Ownership Assignment,medium,2955,0,1,0,True,True,False,True,False
claude-sonnet-5,WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.txt,Non-Compete,medium,2955,0,0,0,True,True,False,False,True
claude-sonnet-5,SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules.txt,Governing Law,medium,3435,0,0,0,True,True,,,
claude-sonnet-5,SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules.txt,Expiration Date,medium,3435,1,1,1,True,True,,,
claude-sonnet-5,SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules.txt,Termination For Convenience,medium,3435,0,0,0,True,True,False,False,True
claude-sonnet-5,SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules.txt,Cap On Liability,medium,3435,1,2,1,True,True,True,True,True
claude-sonnet-5,SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules.txt,Ip Ownership Assignment,medium,3435,0,0,0,True,True,False,False,True
claude-sonnet-5,SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules.txt,Non-Compete,medium,3435,0,0,0,True,True,False,False,True
claude-sonnet-5,PREMIERBIOMEDICALINC_05_14_2020-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT.txt,Governing Law,medium,3596,1,1,1,True,True,,,
claude-sonnet-5,PREMIERBIOMEDICALINC_05_14_2020-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT.txt,Expiration Date,medium,3596,0,0,0,True,True,,,
claude-sonnet-5,PREMIERBIOMEDICALINC_05_14_2020-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT.txt,Termination For Convenience,medium,3596,0,0,0,True,True,False,False,True
claude-sonnet-5,PREMIERBIOMEDICALINC_05_14_2020-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT.txt,Cap On Liability,medium,3596,0,0,0,True,True,False,False,True
claude-sonnet-5,PREMIERBIOMEDICALINC_05_14_2020-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT.txt,Ip Ownership Assignment,medium,3596,0,6,0,True,True,False,True,False
claude-sonnet-5,PREMIERBIOMEDICALINC_05_14_2020-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT.txt,Non-Compete,medium,3596,0,1,0,True,True,False,True,False
claude-sonnet-5,ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT.txt,Governing Law,medium,3770,1,1,1,True,True,,,
claude-sonnet-5,ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT.txt,Expiration Date,medium,3770,1,1,1,True,True,,,
claude-sonnet-5,ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT.txt,Termination For Convenience,medium,3770,0,0,0,True,True,False,False,True
claude-sonnet-5,ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT.txt,Cap On Liability,medium,3770,0,1,0,True,True,False,True,False
claude-sonnet-5,ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT.txt,Ip Ownership Assignment,medium,3770,0,0,0,True,True,False,False,True
claude-sonnet-5,ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT.txt,Non-Compete,medium,3770,1,7,1,True,True,True,True,True
claude-sonnet-5,FreezeTagInc_20180411_8-K_EX-10.1_11139603_EX-10.1_Sponsorship Agreement.txt,Governing Law,medium,4102,1,1,1,True,True,,,
claude-sonnet-5,FreezeTagInc_20180411_8-K_EX-10.1_11139603_EX-10.1_Sponsorship Agreement.txt,Expiration Date,medium,4102,1,1,1,True,True,,,
claude-sonnet-5,FreezeTagInc_20180411_8-K_EX-10.1_11139603_EX-10.1_Sponsorship Agreement.txt,Termination For Convenience,medium,4102,0,1,0,True,True,False,True,False
claude-sonnet-5,FreezeTagInc_20180411_8-K_EX-10.1_11139603_EX-10.1_Sponsorship Agreement.txt,Cap On Liability,medium,4102,0,0,0,True,True,False,False,True
claude-sonnet-5,FreezeTagInc_20180411_8-K_EX-10.1_11139603_EX-10.1_Sponsorship Agreement.txt,Ip Ownership Assignment,medium,4102,0,0,0,True,True,False,False,True
claude-sonnet-5,FreezeTagInc_20180411_8-K_EX-10.1_11139603_EX-10.1_Sponsorship Agreement.txt,Non-Compete,medium,4102,0,0,0,True,True,False,False,True
claude-sonnet-5,PelicanDeliversInc_20200211_S-1_EX-10.3_11975895_EX-10.3_Development Agreement2.txt,Governing Law,medium,4870,1,1,1,True,True,,,
claude-sonnet-5,PelicanDeliversInc_20200211_S-1_EX-10.3_11975895_EX-10.3_Development Agreement2.txt,Expiration Date,medium,4870,1,1,1,True,True,,,
claude-sonnet-5,PelicanDeliversInc_20200211_S-1_EX-10.3_11975895_EX-10.3_Development Agreement2.txt,Termination For Convenience,medium,4870,1,1,1,True,True,True,True,True
claude-sonnet-5,PelicanDeliversInc_20200211_S-1_EX-10.3_11975895_EX-10.3_Development Agreement2.txt,Cap On Liability,medium,4870,0,0,0,True,True,False,False,True
claude-sonnet-5,PelicanDeliversInc_20200211_S-1_EX-10.3_11975895_EX-10.3_Development Agreement2.txt,Ip Ownership Assignment,medium,4870,1,1,3,True,True,True,True,True
claude-sonnet-5,PelicanDeliversInc_20200211_S-1_EX-10.3_11975895_EX-10.3_Development Agreement2.txt,Non-Compete,medium,4870,0,1,0,True,True,False,True,False
claude-sonnet-5,AMBASSADOREYEWEARGROUPINC_11_17_1997-EX-10.28-ENDORSEMENT AGREEMENT.txt,Governing Law,medium,5780,1,1,1,True,True,,,
claude-sonnet-5,AMBASSADOREYEWEARGROUPINC_11_17_1997-EX-10.28-ENDORSEMENT AGREEMENT.txt,Expiration Date,medium,5780,1,1,1,True,True,,,
claude-sonnet-5,AMBASSADOREYEWEARGROUPINC_11_17_1997-EX-10.28-ENDORSEMENT AGREEMENT.txt,Termination For Convenience,medium,5780,0,0,0,True,True,False,False,True
claude-sonnet-5,AMBASSADOREYEWEARGROUPINC_11_17_1997-EX-10.28-ENDORSEMENT AGREEMENT.txt,Cap On Liability,medium,5780,0,3,0,True,True,False,True,False
claude-sonnet-5,AMBASSADOREYEWEARGROUPINC_11_17_1997-EX-10.28-ENDORSEMENT AGREEMENT.txt,Ip Ownership Assignment,medium,5780,0,4,0,True,True,False,True,False
claude-sonnet-5,AMBASSADOREYEWEARGROUPINC_11_17_1997-EX-10.28-ENDORSEMENT AGREEMENT.txt,Non-Compete,medium,5780,0,2,0,True,True,False,True,False
claude-sonnet-5,GSVINC_05_15_1998-EX-10-SPONSORSHIP AGREEMENT.txt,Governing Law,medium,5880,1,1,1,True,True,,,
claude-sonnet-5,GSVINC_05_15_1998-EX-10-SPONSORSHIP AGREEMENT.txt,Expiration Date,medium,5880,1,1,3,True,True,,,
claude-sonnet-5,GSVINC_05_15_1998-EX-10-SPONSORSHIP AGREEMENT.txt,Termination For Convenience,medium,5880,0,0,0,True,True,False,False,True
claude-sonnet-5,GSVINC_05_15_1998-EX-10-SPONSORSHIP AGREEMENT.txt,Cap On Liability,medium,5880,1,1,1,True,True,True,True,True
claude-sonnet-5,GSVINC_05_15_1998-EX-10-SPONSORSHIP AGREEMENT.txt,Ip Ownership Assignment,medium,5880,0,0,0,True,True,False,False,True
claude-sonnet-5,GSVINC_05_15_1998-EX-10-SPONSORSHIP AGREEMENT.txt,Non-Compete,medium,5880,1,1,1,True,True,True,True,True
claude-sonnet-5,"NETGEAR,INC_04_21_2003-EX-10.16-DISTRIBUTOR AGREEMENT.txt",Governing Law,medium,6029,1,1,1,True,True,,,
claude-sonnet-5,"NETGEAR,INC_04_21_2003-EX-10.16-DISTRIBUTOR AGREEMENT.txt",Expiration Date,medium,6029,1,3,1,True,True,,,
claude-sonnet-5,"NETGEAR,INC_04_21_2003-EX-10.16-DISTRIBUTOR AGREEMENT.txt",Termination For Convenience,medium,6029,2,2,2,True,True,True,True,True
claude-sonnet-5,"NETGEAR,INC_04_21_2003-EX-10.16-DISTRIBUTOR AGREEMENT.txt",Cap On Liability,medium,6029,1,1,9,True,True,True,True,True
claude-sonnet-5,"NETGEAR,INC_04_21_2003-EX-10.16-DISTRIBUTOR AGREEMENT.txt",Ip Ownership Assignment,medium,6029,0,0,0,True,True,False,False,True
claude-sonnet-5,"NETGEAR,INC_04_21_2003-EX-10.16-DISTRIBUTOR AGREEMENT.txt",Non-Compete,medium,6029,0,6,0,True,True,False,True,False
claude-sonnet-5,"Columbia Laboratories, (Bermuda) Ltd. - AMEND NO. 2 TO MANUFACTURING AND SUPPLY AGREEMENT.txt",Governing Law,medium,7145,1,1,1,True,True,,,
claude-sonnet-5,"Columbia Laboratories, (Bermuda) Ltd. - AMEND NO. 2 TO MANUFACTURING AND SUPPLY AGREEMENT.txt",Expiration Date,medium,7145,1,1,1,True,True,,,
claude-sonnet-5,"Columbia Laboratories, (Bermuda) Ltd. - AMEND NO. 2 TO MANUFACTURING AND SUPPLY AGREEMENT.txt",Termination For Convenience,medium,7145,0,0,0,True,True,False,False,True
claude-sonnet-5,"Columbia Laboratories, (Bermuda) Ltd. - AMEND NO. 2 TO MANUFACTURING AND SUPPLY AGREEMENT.txt",Cap On Liability,medium,7145,0,1,0,True,True,False,True,False
claude-sonnet-5,"Columbia Laboratories, (Bermuda) Ltd. - AMEND NO. 2 TO MANUFACTURING AND SUPPLY AGREEMENT.txt",Ip Ownership Assignment,medium,7145,0,0,0,True,True,False,False,True
claude-sonnet-5,"Columbia Laboratories, (Bermuda) Ltd. - AMEND NO. 2 TO MANUFACTURING AND SUPPLY AGREEMENT.txt",Non-Compete,medium,7145,0,0,0,True,True,False,False,True
claude-sonnet-5,LegacyEducationAllianceInc_20200330_10-K_EX-10.18_12090678_EX-10.18_Development Agreement.txt,Governing Law,medium,7337,1,1,1,True,True,,,
claude-sonnet-5,LegacyEducationAllianceInc_20200330_10-K_EX-10.18_12090678_EX-10.18_Development Agreement.txt,Expiration Date,medium,7337,2,2,2,True,True,,,
claude-sonnet-5,LegacyEducationAllianceInc_20200330_10-K_EX-10.18_12090678_EX-10.18_Development Agreement.txt,Termination For Convenience,medium,7337,0,0,0,True,True,False,False,True
claude-sonnet-5,LegacyEducationAllianceInc_20200330_10-K_EX-10.18_12090678_EX-10.18_Development Agreement.txt,Cap On Liability,medium,7337,1,1,1,True,True,True,True,True
claude-sonnet-5,LegacyEducationAllianceInc_20200330_10-K_EX-10.18_12090678_EX-10.18_Development Agreement.txt,Ip Ownership Assignment,medium,7337,1,3,1,True,True,True,True,True
claude-sonnet-5,LegacyEducationAllianceInc_20200330_10-K_EX-10.18_12090678_EX-10.18_Development Agreement.txt,Non-Compete,medium,7337,1,3,1,True,True,True,True,True
claude-sonnet-5,NANOPHASETECHNOLOGIESCORP_11_01_2005-EX-99.1-DISTRIBUTOR AGREEMENT.txt,Governing Law,medium,7663,2,2,2,True,True,,,
claude-sonnet-5,NANOPHASETECHNOLOGIESCORP_11_01_2005-EX-99.1-DISTRIBUTOR AGREEMENT.txt,Expiration Date,medium,7663,1,1,1,True,True,,,
claude-sonnet-5,NANOPHASETECHNOLOGIESCORP_11_01_2005-EX-99.1-DISTRIBUTOR AGREEMENT.txt,Termination For Convenience,medium,7663,1,1,1,True,True,True,True,True
claude-sonnet-5,NANOPHASETECHNOLOGIESCORP_11_01_2005-EX-99.1-DISTRIBUTOR AGREEMENT.txt,Cap On Liability,medium,7663,3,7,4,True,True,True,True,True
claude-sonnet-5,NANOPHASETECHNOLOGIESCORP_11_01_2005-EX-99.1-DISTRIBUTOR AGREEMENT.txt,Ip Ownership Assignment,medium,7663,0,0,0,True,True,False,False,True
claude-sonnet-5,NANOPHASETECHNOLOGIESCORP_11_01_2005-EX-99.1-DISTRIBUTOR AGREEMENT.txt,Non-Compete,medium,7663,0,3,0,True,True,False,True,False
claude-sonnet-5,PenntexMidstreamPartnersLp_20150416_S-1A_EX-10.4_9042833_EX-10.4_Transportation Agreement.txt,Governing Law,medium,7965,1,1,1,True,True,,,
claude-sonnet-5,PenntexMidstreamPartnersLp_20150416_S-1A_EX-10.4_9042833_EX-10.4_Transportation Agreement.txt,Expiration Date,medium,7965,1,1,1,True,True,,,
claude-sonnet-5,PenntexMidstreamPartnersLp_20150416_S-1A_EX-10.4_9042833_EX-10.4_Transportation Agreement.txt,Termination For Convenience,medium,7965,0,1,0,True,True,False,True,False
claude-sonnet-5,PenntexMidstreamPartnersLp_20150416_S-1A_EX-10.4_9042833_EX-10.4_Transportation Agreement.txt,Cap On Liability,medium,7965,1,2,1,True,True,True,True,True
claude-sonnet-5,PenntexMidstreamPartnersLp_20150416_S-1A_EX-10.4_9042833_EX-10.4_Transportation Agreement.txt,Ip Ownership Assignment,medium,7965,0,0,0,True,True,False,False,True
