contract,stratum,word_count,strict_json_ok,parse_error,fields_ok,brief_json,call_error,tokens_in,tokens_out,finish_reason,latency_s,cost_usd,raw_path
NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRIBUTOR AGREEMENT_Amendment.txt,short,2848,True,,True,"{""parties"": [""Peregrine/Bridge Transfer Corporation (licensor)"", ""NEON Systems, Inc. (licensee)"", ""Skunkware, Inc. (sole stockholder of licensor)""], ""purpose"": ""This agreement amends the Distributor Agreement between Peregrine/Bridge Transfer Corporation and NEON Systems, Inc., changing the nature of the distributorship from non-exclusive to exclusive and outlining royalty payments and other terms."", ""key_obligations"": [""Peregrine/Bridge Transfer Corporation: to repay royalty advances upon expiration or termination"", ""NEON Systems, Inc.: to pay royalties to licensor"", ""NEON Systems, Inc.: to exercise right of first refusal to purchase licensor's assets or stock""], ""term"": ""effective through March 31, 2004, with automatic renewal for successive one-year terms unless terminated with 60 days' notice"", ""risks"": [""licensor's liability for misrepresentation or breach of Section 6.2"", ""licensee's obligation to pay accelerated royalty payments upon termination for non-payment"", ""exclusive distributorship granting licensee exclusive rights""]}",,4608,230,stop,10.88,0.00503,results/raw/20260825T121014__summary__llama-3.3-70b__NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRI.txt
"XLITECHNOLOGIES,INC_12_11_2015-EX-10.1-Sponsorship Agreement.txt",short,2851,True,,True,"{""parties"": [""RMF Empire, Inc. DBA West Coast Customs (promoter)"", ""Bosch International, LLC / XLI Technologies, Inc. (sponsor)""], ""purpose"": ""The agreement is for West Coast Customs to promote XLI's products and technology, including 'Light Sheets', in their marketing and production activities. The parties aim to mutually benefit from this cooperation."", ""key_obligations"": [""West Coast Customs to promote XLI products and use 'Light Sheets' in their production"", ""XLI to provide 'Light Sheets' at no cost for exclusive use in limited operations and production"", ""West Coast Customs to provide XLI with sponsor benefits as outlined in Attachment A"", ""XLI to pay West Coast Customs according to Attachment B""], ""term"": ""December 1st, 2015 to November 30, 2016, with possible termination upon breach or mutual consent"", ""risks"": [""Indemnification obligations for breach of representations and warranties or use of trademarks"", ""Unilateral termination rights upon breach or mutual consent"", ""Confidentiality and non-disclosure obligations"", ""Force majeure events may affect performance""]}",,4247,239,stop,15.87,0.00467,"results/raw/20260825T121030__summary__llama-3.3-70b__XLITECHNOLOGIES,INC_12_11_2015-EX-10.1-S.txt"
ORBSATCORP_08_17_2007-EX-7.3-STRATEGIC ALLIANCE AGREEMENT.txt,short,2909,True,,True,"{""parties"": [""UTK Corporation (service provider)"", ""World Energy Solutions (client)""], ""purpose"": ""The agreement is for UTK to provide services to World Energy Solutions, including identifying technology acquisition opportunities and maintaining confidentiality. The services aim to enhance World Energy Solutions' new product pipeline."", ""key_obligations"": [""UTK Corporation is to provide services as defined in the agreement"", ""World Energy Solutions is to pay UTK Corporation $120,000 worth of unregistered shares of common stock"", ""UTK Corporation is to maintain confidentiality of World Energy Solutions' information"", ""World Energy Solutions is to notify UTK Corporation of any events that may materially affect its condition or prospects""], ""term"": ""12 months, renewable upon mutual written agreement, terminable with 30 days' written notice"", ""risks"": [""UTK Corporation's indemnification of World Energy Solutions for losses arising from misrepresentation or breach of warranty"", ""World Energy Solutions' indemnification of UTK Corporation for losses arising from misrepresentation or breach of warranty"", ""Exclusivity restriction: World Energy Solutions shall not acquire technologies presented by UTK directly from the technology developer for 24 months after termination"", ""Unilateral termination right with 30 days' written notice""]}",,4160,254,stop,10.72,0.00459,results/raw/20260825T121041__summary__llama-3.3-70b__ORBSATCORP_08_17_2007-EX-7.3-STRATEGIC_A.txt
WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.txt,medium,2955,True,,True,"{""parties"": [""eGain Communications Corporation (host)"", ""Eliance Corporation (customer)""], ""purpose"": ""This agreement is for eGain to provide Eliance with Web-based access to eGain's software and hosting services. The services include processing and responding to online inquiries and messages."", ""key_obligations"": [""eGain is to provide hosting services and maintenance"", ""eGain is to provide live telephone support"", ""Eliance is to pay fees and charges for the hosting services"", ""Eliance is to maintain confidentiality of passwords and access to the eGain System""], ""term"": ""1 year, renewable for successive 1 year periods"", ""risks"": [""eGain's liability for damages is limited to the price paid for the services"", ""eGain has the right to terminate the agreement in case of material breach or insolvency"", ""eGain is obligated to indemnify Eliance against third-party infringement claims""]}",,4157,192,stop,6.6,0.00452,results/raw/20260825T121048__summary__llama-3.3-70b__WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING.txt
SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules.txt,medium,3435,True,,True,"{""parties"": [""EuroTel Bratislava a.s. (customer)"", ""Sicap Ltd (maintenance and support provider)""], ""purpose"": ""The agreement is for the provision of maintenance and support services by Sicap Ltd to EuroTel for the SICAP(R) modules PPB, VCA, and OTA."", ""key_obligations"": [""Sicap Ltd is to provide standard service, including hotline support and remote support, as described in the contract"", ""EuroTel is to pay the annual fees and provide cooperation and necessary information to Sicap Ltd"", ""Sicap Ltd is to perform change management and provide additional support as requested by EuroTel""], ""term"": ""2 years, automatically renewable for 1 year unless terminated with 6 weeks' notice"", ""risks"": [""Sicap Ltd's liability for indirect loss is excluded"", ""EuroTel is responsible for damages resulting from suspension of services due to non-payment""]}",,5923,190,stop,10.3,0.00636,results/raw/20260825T121058__summary__llama-3.3-70b__SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-.txt
PREMIERBIOMEDICALINC_05_14_2020-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT.txt,medium,3596,True,,True,"{""parties"": [""Marv Enterprises, LLC (patent owner)"", ""Premier Biomedical, Inc. (licensor)"", ""Technology Health, Inc. (licensee)""], ""purpose"": ""The agreement is for the development, implementation, and commercialization of a potential treatment for COVID-19, with Technology Health, Inc. obtaining an exclusive license to certain patents and applications. The parties will collaborate on the creation and distribution of products related to COVID-19 treatment."", ""key_obligations"": [""Technology Health, Inc. is obligated to pay various costs and royalties to Marv Enterprises, LLC"", ""Technology Health, Inc. must report and pay royalties on licensed products and services"", ""Premier Biomedical, Inc. and Technology Health, Inc. will jointly cooperate in developing COVID-19 licensed products""], ""term"": ""not specified"", ""risks"": [""Exclusive license reverts to Premier if Technology Health, Inc. fails to make obligatory payments"", ""Technology Health, Inc. is liable for intellectual property prosecution and costs"", ""Confidentiality obligations apply to all parties""]}",,5270,222,stop,10.63,0.00571,results/raw/20260825T121109__summary__llama-3.3-70b__PREMIERBIOMEDICALINC_05_14_2020-EX-10.2-.txt
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT.txt,medium,3770,True,,True,"{""parties"": [""TOM WATSON (CONSULTANT)"", ""ADAMS GOLF, LTD. (ADAMS GOLF)""], ""purpose"": ""This agreement is for TOM WATSON to endorse and promote ADAMS GOLF's products, including golf clubs and headwear, in exchange for compensation and other benefits."", ""key_obligations"": [""ADAMS GOLF shall supply CONSULTANT with MANDATORY PRODUCTS"", ""CONSULTANT shall exclusively play/use MANDATORY PRODUCTS in tournaments"", ""CONSULTANT shall make promotional appearances and wear ADAMS GOLF's headwear"", ""ADAMS GOLF shall pay CONSULTANT base compensation and performance bonuses""], ""term"": ""[* ****] years and [*****] months commencing September 1, 2004"", ""risks"": [""ADAMS GOLF may terminate the agreement if CONSULTANT commits a material breach or engages in conduct that brings him into public disrepute"", ""CONSULTANT shall indemnify ADAMS GOLF against liability for defects in ADAMS GOLF's products"", ""ADAMS GOLF may demand repayment of compensation if CONSULTANT fails to perform his obligations""]}",,5851,240,stop,18.82,0.00633,results/raw/20260825T121127__summary__llama-3.3-70b__ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSE.txt
FreezeTagInc_20180411_8-K_EX-10.1_11139603_EX-10.1_Sponsorship Agreement.txt,medium,4102,True,,True,"{""parties"": [""American Diabetes Association (Association)"", ""Freeze Tag, Inc. (Company)""], ""purpose"": ""The agreement is for a national sponsorship of Get Fit Don't Sit Day and other activities to support the American Diabetes Association's mission. The Company will provide financial support and promotional activities in exchange for recognition and use of the Association's marks."", ""key_obligations"": [""Company: provide financial support of $150,000"", ""Company: develop a customized version of its ZeeTour app to support Tour de Cure and Step Out events"", ""Company: ask customers to participate in a voluntary pin pad/POS donation campaign"", ""Association: provide recognition and use of its marks"", ""Association: review and approve Company's use of its marks""], ""term"": ""March 15, 2018 to March 14, 2020"", ""risks"": [""Company's liability for negligent acts or omissions"", ""Indemnification obligations for both parties"", ""Unilateral termination rights for both parties"", ""Intellectual property risks related to the use of Association marks""]}",,5640,223,stop,9.53,0.0061,results/raw/20260825T121137__summary__llama-3.3-70b__FreezeTagInc_20180411_8-K_EX-10.1_111396.txt
PelicanDeliversInc_20200211_S-1_EX-10.3_11975895_EX-10.3_Development Agreement2.txt,medium,4870,True,,True,"{""parties"": [""DOT COM LLC, OBA Seattle Software Developers (Developer)"", ""Pelican Delivers Inc. (Client)""], ""purpose"": ""The agreement is for the development of software, specifically the Pelican Delivers Application Phase 1, by the Developer for the Client."", ""key_obligations"": [""Developer: design, develop, and deliver the software"", ""Client: pay fees to Developer for services and deliverables"", ""Developer: provide assistance to Client for acceptance tests"", ""Client: provide necessary information and documentation to Developer""], ""term"": ""not specified"", ""risks"": [""Client's liability for breach of agreement"", ""Developer's liability for gross negligence or willful misconduct"", ""indemnification obligations for both parties"", ""unilateral termination rights for both parties""]}",,6893,164,stop,9.21,0.00734,results/raw/20260825T121146__summary__llama-3.3-70b__PelicanDeliversInc_20200211_S-1_EX-10.3_.txt
AMBASSADOREYEWEARGROUPINC_11_17_1997-EX-10.28-ENDORSEMENT AGREEMENT.txt,medium,5780,True,,True,"{""parties"": [""Kathy Ireland, Inc. (endorser)"", ""The Sterling/Winters Co. (agent)"", ""Diplomat Ambassador Eyewear Group (licensee)""], ""purpose"": ""This agreement grants Diplomat Ambassador Eyewear Group the right to use Kathy Ireland's name and likeness in connection with the manufacture, sale, and distribution of eyewear products."", ""key_obligations"": [""Diplomat Ambassador Eyewear Group must pay royalties to Kathy Ireland, Inc."", ""Kathy Ireland, Inc. must endorse the products and make personal appearances"", ""Diplomat Ambassador Eyewear Group must maintain the quality and style of the products"", ""Diplomat Ambassador Eyewear Group must provide statements and payments to Kathy Ireland, Inc.""], ""term"": ""August 1, 1995 to January 30, 2000"", ""risks"": [""Diplomat Ambassador Eyewear Group is liable for any claims arising from the use of Kathy Ireland's name and likeness"", ""Diplomat Ambassador Eyewear Group must indemnify Kathy Ireland, Inc. against any claims"", ""Kathy Ireland, Inc. has the right to terminate the agreement if Diplomat Ambassador Eyewear Group fails to perform its obligations"", ""Diplomat Ambassador Eyewear Group must obtain product liability insurance""]}",,8388,264,stop,16.72,0.009,results/raw/20260825T121203__summary__llama-3.3-70b__AMBASSADOREYEWEARGROUPINC_11_17_1997-EX-.txt
GSVINC_05_15_1998-EX-10-SPONSORSHIP AGREEMENT.txt,medium,5880,True,,True,"{""parties"": [""Excite, Inc. (sponsor)"", ""CyberShop (client)""], ""purpose"": ""This agreement is for the sponsorship of CyberShop on Excite's website and network, including the display of promotional links and advertising banners. The agreement outlines the terms and conditions of the sponsorship, including the obligations of both parties and the duration of the agreement."", ""key_obligations"": [""Excite, Inc. is obligated to display CyberShop's promotional links and advertising banners on its website and network"", ""CyberShop is obligated to pay sponsorship and advertising fees to Excite, Inc."", ""Excite, Inc. is obligated to provide monthly reports to CyberShop on the number of impressions and clickthroughs"", ""CyberShop is obligated to provide User Data to Excite, Inc.""], ""term"": ""2 years, with option to terminate if certain conditions are not met"", ""risks"": [""Excite, Inc. has a liability cap for damages, limited to the amount paid by CyberShop"", ""CyberShop has an indemnity obligation to Excite, Inc. for certain claims"", ""Either party has the right to terminate the agreement if the other party materially breaches its obligations""]}",,8668,249,stop,13.4,0.00927,results/raw/20260825T121216__summary__llama-3.3-70b__GSVINC_05_15_1998-EX-10-SPONSORSHIP_AGRE.txt
"NETGEAR,INC_04_21_2003-EX-10.16-DISTRIBUTOR AGREEMENT.txt",medium,6029,True,,True,"{""parties"": [""Ingram Micro (Distributor)"", ""NETGEAR, Inc. (Supplier)""], ""purpose"": ""The agreement governs the purchase, sale, and licensing of NETGEAR products by Ingram Micro for resale to end-users."", ""key_obligations"": [""Ingram Micro shall sell or license products only to resale customers"", ""NETGEAR shall provide products and support to Ingram Micro"", ""Ingram Micro shall provide first level support for its customers"", ""NETGEAR shall provide second and third level support to Ingram Micro""], ""term"": ""1 year, automatically renewable for successive 1 year periods unless terminated with 90 days notice"", ""risks"": [""NETGEAR's liability for damages is limited"", ""Ingram Micro is responsible for payment of taxes and duties"", ""NETGEAR has unilateral termination rights in case of breach or insolvency"", ""Ingram Micro has obligations to protect NETGEAR's proprietary information and intellectual property""]}",,8561,199,stop,7.28,0.00911,"results/raw/20260825T121224__summary__llama-3.3-70b__NETGEAR,INC_04_21_2003-EX-10.16-DISTRIBU.txt"
"Columbia Laboratories, (Bermuda) Ltd. - AMEND NO. 2 TO MANUFACTURING AND SUPPLY AGREEMENT.txt",medium,7145,True,,True,"{""parties"": [""Columbia Laboratories, (Bermuda) Ltd. (purchaser)"", ""Fleet Laboratories Limited (manufacturer)""], ""purpose"": ""The agreement is for the manufacture and supply of certain products by Fleet to Columbia. The contract outlines the terms and conditions of their partnership, including pricing, delivery, and quality control."", ""key_obligations"": [""Fleet is to manufacture and supply products to Columbia"", ""Columbia is to purchase products from Fleet"", ""Fleet is to maintain and operate Columbia's equipment"", ""Columbia is to provide certain raw materials to Fleet""], ""term"": ""Initial term expires on 31 December 2024, with possible extension by mutual agreement"", ""risks"": [""Fleet's indemnity obligations for breaches of representations, warranties, and covenants"", ""Columbia's indemnity obligations for handling, possession, and sale of products"", ""Unilateral termination rights by Columbia in certain circumstances"", ""Liability for loss or damage to Columbia's equipment""]}",,10024,208,stop,7.8,0.01064,"results/raw/20260825T121231__summary__llama-3.3-70b__Columbia_Laboratories,_(Bermuda)_Ltd._-_.txt"
LegacyEducationAllianceInc_20200330_10-K_EX-10.18_12090678_EX-10.18_Development Agreement.txt,medium,7337,True,,True,"{""parties"": [""T&B Seminars, Inc. (licensor)"", ""Legacy Education Alliance Holdings, Inc. (licensee)""], ""purpose"": ""The agreement is for the development and operation of a real estate education business using Tarek El Moussa's intellectual property. The business will market and sell real estate investing oriented education products."", ""key_obligations"": [""T&B Seminars, Inc. is to grant a license to Legacy Education Alliance Holdings, Inc."", ""T&B Seminars, Inc. is to provide assistance in developing the business"", ""Legacy Education Alliance Holdings, Inc. is to provide administrative and operational services for the conduct of the business"", ""Legacy Education Alliance Holdings, Inc. is to pay royalties to T&B Seminars, Inc.""], ""term"": ""5 years, automatically renewable for successive 5-year terms unless 90 days' notice is given"", ""risks"": [""LEA is to indemnify T&B against claims arising from the promotion, distribution and sale of products"", ""T&B has the right to terminate the agreement if LEA does not meet cash sales benchmarks"", ""LEA has the right to terminate the agreement if T&B Personality engages in illegal or immoral conduct"", ""Limitation of liability for lost profits or other special, indirect or consequential damages""]}",,10488,267,stop,6.24,0.01119,results/raw/20260825T121238__summary__llama-3.3-70b__LegacyEducationAllianceInc_20200330_10-K.txt
NANOPHASETECHNOLOGIESCORP_11_01_2005-EX-99.1-DISTRIBUTOR AGREEMENT.txt,medium,7663,True,,True,"{""parties"": [""Nanophase Technologies Corporation (NTC) (manufacturer)"", ""Johnson Matthey Catalog Company, Inc. (ALFA AESAR) (distributor)""], ""purpose"": ""The agreement appoints ALFA AESAR as the exclusive distributor of NTC's nanomaterials for research purposes on a worldwide basis. The agreement outlines the terms and conditions of their partnership, including pricing, delivery, and payment terms."", ""key_obligations"": [""NTC is to supply ALFA AESAR with products at agreed prices"", ""ALFA AESAR is to purchase all its requirements of the products exclusively from NTC"", ""ALFA AESAR is to use its reasonable efforts to promote the marketing, sale and distribution of the products"", ""NTC is to provide training and marketing support to ALFA AESAR""], ""term"": ""5 years, renewable for 2-year terms unless 6 months' notice is given"", ""risks"": [""NTC's liability is limited to the purchase price of defective products"", ""ALFA AESAR indemnifies NTC against claims arising from its breach of warranties or gross negligence"", ""NTC has the right to terminate the agreement if ALFA AESAR becomes insolvent or breaches the agreement""]}",,10789,256,stop,5.73,0.01149,results/raw/20260825T121243__summary__llama-3.3-70b__NANOPHASETECHNOLOGIESCORP_11_01_2005-EX-.txt
PenntexMidstreamPartnersLp_20150416_S-1A_EX-10.4_9042833_EX-10.4_Transportation Agreement.txt,medium,7965,True,,True,"{""parties"": [""PennTex North Louisiana Operating, LLC (Transporter)"", ""MRD Operating LLC (Customer)""], ""purpose"": ""The agreement is for the transportation of natural gas from the Customer to the Transporter, with the Transporter providing firm and interruptible services. The agreement outlines the terms and conditions for the transportation, including fees, nominations, and imbalances."", ""key_obligations"": [""Transporter: provide firm and interruptible transportation services"", ""Customer: pay transportation fees and nominate gas quantities"", ""Transporter: construct and maintain transportation facilities"", ""Customer: deliver gas to the Transporter's facilities""], ""term"": ""15 years, with 30 days' notice for termination"", ""risks"": [""Customer's liability for failure to deliver gas is limited to payment of fees"", ""Transporter's liability for consequential damages is limited"", ""Indemnification obligations for breaches of representations and warranties"", ""Force majeure events may suspend obligations""]}",,11042,199,stop,8.18,0.01169,results/raw/20260825T121252__summary__llama-3.3-70b__PenntexMidstreamPartnersLp_20150416_S-1A.txt
CORIOINC_07_20_2000-EX-10.5-LICENSE AND HOSTING AGREEMENT.txt,long,8396,True,,True,"{""parties"": [""Corio Inc. (licensee)"", ""Commerce One, Inc. (licensor)""], ""purpose"": ""The agreement is for the licensing and hosting of Commerce One's proprietary software, including the Hosted BuySite and MarketSite.net Service, to Corio for use in its hosting services. The parties also agree to jointly market and promote each other's software and services."", ""key_obligations"": [""Commerce One shall deliver the software and provide support and maintenance"", ""Corio shall pay license fees and maintenance and support fees"", ""Corio shall sublicense the software to its customers"", ""Commerce One shall provide Corio with access to its operations and consulting personnel""], ""term"": ""5 years, renewable for 1 year periods"", ""risks"": [""Liability cap of total amount paid by Corio in the 12 months prior to the claim"", ""Indemnification by Commerce One for intellectual property infringement claims"", ""Unilateral termination rights for material breach or insolvency"", ""Exclusivity restrictions on Corio's ability to sell non-ASP licenses to its customers""]}",,12030,226,stop,14.15,0.01275,results/raw/20260825T121306__summary__llama-3.3-70b__CORIOINC_07_20_2000-EX-10.5-LICENSE_AND_.txt
